Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-02-11T14:57:55.691014Z,,CASH TOP-UP,,,$100,USD,1.2137
2021-02-11T14:58:13.545627Z,TXMD,BUY - MARKET,20,$1.95,$38.98,USD,1.2137
2021-02-12T06:56:12.413585Z,AAPL,DIVIDEND,,,$0.70,USD,1.2128
2021-02-16T14:46:45.561905Z,TXMD,SELL - MARKET,120,$1.92,$230.39,USD,1.2107
2021-02-16T15:09:40.453319Z,NVAX,SELL - MARKET,0.33553749,$282.50,$94.78,USD,1.2112
2021-02-16T17:04:04.749362Z,PLUG,BUY - MARKET,1,$61.08,$61.08,USD,1.2111
2021-02-16T17:06:47.510066Z,PLUG,SELL - MARKET,8,$57.01,$456.06,USD,1.2111
2021-02-16T17:07:37.045220Z,PLUG,BUY - MARKET,8,$57.69,$461.52,USD,1.2109
2021-02-16T17:11:40.149707Z,SPWRQ,SELL - MARKET,2,$46.42,$92.83,USD,1.2109
2021-02-16T17:21:04.952747Z,AAPL,BUY - MARKET,1,$133.42,$133.42,USD,1.2109
2021-02-16T17:23:05.231489Z,XPEV,BUY - MARKET,1,$45.22,$45.22,USD,1.211
2021-02-16T17:25:48.012753Z,NVAX,BUY - MARKET,0.1,$269.70,$26.97,USD,1.2108
2021-02-16T17:50:49.955180Z,ENPH,BUY - MARKET,0.5,$195.34,$97.67,USD,1.211
2021-02-17T18:58:41.036519Z,TIGR,BUY - LIMIT,1,$32.50,$32.50,USD,1.204
2021-02-18T14:58:15.710953Z,,CASH TOP-UP,,,$300,USD,1.2074
2021-02-18T14:59:08.992550Z,SPWRQ,BUY - MARKET,2,$39,$78,USD,1.2075
2021-02-18T15:00:35.973692Z,XPEV,BUY - MARKET,0.5,$41.92,$20.96,USD,1.2077
2021-02-18T15:02:36.530526Z,REGI,BUY - MARKET,0.79063625,$96.20,$76.06,USD,1.2076
2021-02-18T15:19:09.741581Z,PLUG,BUY - LIMIT,1,$52,$52,USD,1.2067
2021-02-18T16:13:29.116160Z,TIGR,BUY - MARKET,1,$31,$31,USD,1.2076
2021-02-18T16:15:30.393936Z,BLK,BUY - MARKET,0.06187656,$702.69,$43.48,USD,1.2078
2021-02-18T16:16:34.621918Z,ENPH,BUY - MARKET,0.2,$179.50,$35.90,USD,1.2082
2021-02-18T18:15:19.058677Z,,CASH TOP-UP,,,$200,USD,1.2083
2021-02-18T18:15:37.711783Z,AAPL,BUY - MARKET,1,$128.65,$128.65,USD,1.2083
2021-02-18T18:16:54.804504Z,BLK,BUY - MARKET,0.05,$700,$35,USD,1.2084
2021-02-18T18:18:58.577297Z,GOOGL,BUY - MARKET,0.00410063,"$2,102.12",$8.62,USD,1.2084
2021-02-18T20:50:31.235949Z,SPWRQ,BUY - MARKET,1,$36.16,$36.16,USD,1.2095
2021-02-18T20:53:13.938582Z,,CASH TOP-UP,,,$100,USD,1.2094
2021-02-18T20:53:19.447244Z,REGI,BUY - MARKET,0.5,$94.14,$47.07,USD,1.2095
2021-02-18T20:55:31.567615Z,NIO,BUY - MARKET,0.57309786,$54.39,$31.17,USD,1.2095
2021-02-19T15:04:26.382587Z,MRNA,SELL - MARKET,0.5,$173.40,$86.69,USD,1.2123
2021-02-19T15:06:02.825093Z,META,BUY - MARKET,0.20888313,$266.61,$55.69,USD,1.2123
2021-02-19T15:07:29.194876Z,NVAX,SELL - MARKET,0.3,$279.37,$83.80,USD,1.2126
2021-02-19T15:10:38.453475Z,TEAM,SELL - MARKET,0.35258417,$256.11,$90.29,USD,1.2123
2021-02-19T15:12:05.288116Z,V,BUY - MARKET,0.2,$205.05,$41.01,USD,1.2124
2021-02-19T15:12:23.276499Z,MA,BUY - MARKET,0.1,$333.90,$33.39,USD,1.2125
2021-02-19T16:09:15.567292Z,TIGR,SELL - MARKET,5,$36.97,$184.84,USD,1.2133
2021-02-19T16:15:06.188819Z,TIGR,BUY - LIMIT,1,$36.50,$36.50,USD,1.2133
2021-02-19T17:35:27.684667Z,REGI,BUY - MARKET,0.5,$97.02,$48.51,USD,1.2132
2021-02-19T17:40:25.541578Z,TIGR,BUY - LIMIT,1,$36,$36,USD,1.213
2021-02-19T17:42:28.789398Z,TIGR,BUY - LIMIT,1,$35.50,$35.50,USD,1.2129
2021-02-19T19:16:40.894204Z,TSLA,BUY - MARKET,0.1,$782.80,$78.28,USD,1.2117
2021-02-19T19:17:41.912445Z,META,BUY - MARKET,0.2,$261.90,$52.38,USD,1.2117
2021-02-19T19:22:27.806942Z,BIDU,BUY - MARKET,0.1,$321,$32.10,USD,1.2117
2021-02-19T19:54:43.954669Z,TIGR,BUY - LIMIT,1,$35,$35,USD,1.2118
2021-02-19T20:52:01.424104Z,XPEV,BUY - MARKET,0.5,$40.86,$20.43,USD,1.2121
2021-02-20T12:51:13.108333Z,,CASH TOP-UP,,,$100,USD,1.2246
2021-02-22T14:41:06.809825Z,PYPL,BUY - MARKET,0.2,$282.60,$56.52,USD,1.214
2021-02-22T14:42:13.363140Z,TIGR,BUY - MARKET,1,$33.71,$33.71,USD,1.2141
2021-02-22T16:06:41.212661Z,TME,BUY - MARKET,0.5,$24.92,$12.46,USD,1.2147
2021-02-22T16:07:39.416353Z,,CASH TOP-UP,,,$100,USD,1.2146
2021-02-22T16:08:04.810420Z,TIGR,BUY - MARKET,1,$30.89,$30.89,USD,1.2148
2021-02-22T16:22:07.144505Z,AAPL,BUY - MARKET,0.5,$126.76,$63.38,USD,1.2148
2021-02-22T17:40:48.541818Z,MRNA,SELL - MARKET,0.3,$162.47,$48.73,USD,1.217
2021-02-22T17:44:33.375425Z,BILI,BUY - MARKET,0.07777777,$133.46,$10.38,USD,1.2168
2021-02-22T17:45:20.348104Z,BILI,BUY - MARKET,0.08888889,$133.54,$11.87,USD,1.2169
2021-02-22T20:02:22.975769Z,BKNG,BUY - MARKET,0.001,"$2,370",$2.37,USD,1.2168
2021-02-22T20:03:52.570243Z,FVRR,SELL - MARKET,0.31109579,$280.01,$87.10,USD,1.2167
2021-02-22T20:25:51.841272Z,GME,BUY - MARKET,1.5,$45.68,$68.52,USD,1.216
2021-02-22T20:37:11.744202Z,SPWRQ,BUY - LIMIT,1,$33,$33,USD,1.216
2021-02-23T15:07:12.761013Z,TSLA,SELL - MARKET,0.6,$661.62,$396.95,USD,1.2143
2021-02-23T15:07:56.084115Z,GOOGL,BUY - MARKET,0.19,"$2,014.74",$382.80,USD,1.2144
