Symbol,Type,Quantity,Price,Value,Fees,Date
ETH,Buy,0.00499111,"€1,001.78",€5.00,€0.14,"Jan 15, 2021, 1:22:34 PM"
BTC,Buy,0.00031971,"€31,278.35",€10.00,€0.30,"Jan 15, 2021, 1:22:54 PM"
BCH,Buy,0.01187045,€421.21,€5.00,€0.14,"Jan 16, 2021, 1:02:04 PM"
LTC,Buy,0.03986621,€125.42,€5.00,€0.14,"Jan 16, 2021, 1:12:49 PM"
ETH,Buy,0.00495949,"€1,008.17",€5.00,€0.14,"Jan 16, 2021, 1:19:27 PM"
BTC,Buy,0.00032153,"€31,101.10",€10.00,€0.30,"Jan 16, 2021, 1:19:44 PM"
BCH,Buy,0.01258789,€397.21,€5.00,€0.14,"Jan 17, 2021, 1:02:03 PM"
LTC,Buy,0.04243516,€117.83,€5.00,€0.14,"Jan 17, 2021, 1:12:02 PM"
ETH,Buy,0.00493492,"€1,013.19",€5.00,€0.14,"Jan 17, 2021, 1:18:18 PM"
BTC,Buy,0.00034012,"€29,400.78",€10.00,€0.30,"Jan 17, 2021, 1:18:32 PM"
BCH,Buy,0.01251977,€399.37,€5.00,€0.14,"Jan 18, 2021, 1:01:31 PM"
LTC,Buy,0.04135867,€120.89,€5.00,€0.14,"Jan 18, 2021, 1:14:43 PM"
ETH,Buy,0.00482954,"€1,035.29",€5.00,€0.14,"Jan 18, 2021, 1:23:15 PM"
BTC,Buy,0.00032303,"€30,956.88",€10.00,€0.30,"Jan 18, 2021, 1:23:36 PM"
BCH,Buy,0.01135248,€440.43,€5.00,€0.14,"Jan 19, 2021, 1:01:18 PM"
LTC,Buy,0.03726778,€134.16,€5.00,€0.14,"Jan 19, 2021, 1:11:51 PM"
ETH,Buy,0.00425106,"€1,176.18",€5.00,€0.14,"Jan 19, 2021, 1:18:24 PM"
BTC,Buy,0.00032379,"€30,884.22",€10.00,€0.30,"Jan 19, 2021, 1:18:40 PM"
BCH,Buy,0.01266799,€394.70,€5.00,€0.14,"Jan 20, 2021, 1:01:41 PM"
LTC,Buy,0.04223314,€118.39,€5.00,€0.14,"Jan 20, 2021, 1:14:55 PM"
ETH,Buy,0.00468268,"€1,067.76",€5.00,€0.14,"Jan 20, 2021, 1:23:13 PM"
BTC,Buy,0.00035043,"€28,536.37",€10.00,€0.30,"Jan 20, 2021, 1:23:35 PM"
BCH,Buy,0.01367255,€365.70,€5.00,€0.14,"Jan 21, 2021, 1:01:10 PM"
LTC,Buy,0.04590434,€108.92,€5.00,€0.14,"Jan 21, 2021, 1:11:18 PM"
ETH,Buy,0.0050177,€996.47,€5.00,€0.14,"Jan 21, 2021, 1:18:26 PM"
